,0
2007-11-01,7.1128802383556105
2007-11-02,2.525737610789759
2007-11-03,3.4002808875671775
2007-11-04,3.730191342150206
2007-11-05,3.89880159778233
2007-11-06,2.4104910600874634
2007-11-07,4.5665145860896486
2007-11-08,5.076572556662031
2007-11-09,4.634544073346128
2007-11-10,3.725462616416897
2007-11-11,2.6313195726245926
2007-11-12,3.4203326903903006
2007-11-13,1.2941218621629842
2007-11-14,2.6622324769214893
2007-11-15,3.44659695533437
2007-11-16,3.8309783459353466
2007-11-17,2.370918582077795
2007-11-18,6.002136316855208
2007-11-19,2.918719427976014
2007-11-20,3.3321881321406908
2007-11-21,2.769539561960607
2007-11-22,6.374750009958355
2007-11-23,6.137268458268802
2007-11-24,2.0784702498727334
2007-11-25,2.630555870191454
2007-11-26,3.3537722908033976
2007-11-27,2.9096026995404793
2007-11-28,4.140244780911939
2007-11-29,6.670268263704409
2007-11-30,3.706004127539153
