,0
2010-11-01,2.44222093189887
2010-11-02,5.2351710804077
2010-11-03,5.222563328077333
2010-11-04,4.154438249205883
2010-11-05,6.152925616063876
2010-11-06,6.528520686870472
2010-11-07,3.23990812202244
2010-11-08,2.8484859643393987
2010-11-09,3.3845952731168407
2010-11-10,1.2764236505686781
2010-11-11,2.732400456256789
2010-11-12,2.7087492482788984
2010-11-13,8.874009148625934
2010-11-14,4.9834347893289745
2010-11-15,2.854868667472543
2010-11-16,1.8354657908129246
2010-11-17,1.9816689416777056
2010-11-18,2.640672547783791
2010-11-19,4.490223692127956
2010-11-20,9.328798705501422
2010-11-21,2.624703936052371
2010-11-22,1.9425259494679985
2010-11-23,2.4116143320640546
2010-11-24,1.094763542351388
2010-11-25,1.383086177437869
2010-11-26,2.103998793031738
2010-11-27,7.25359900701355
2010-11-28,1.6603789905375268
2010-11-29,2.375398185713363
2010-11-30,2.612007203012764
