,0
2010-08-01,2.431493339007114
2010-08-02,2.4341978147546306
2010-08-03,1.9983995597569206
2010-08-04,2.937799283978101
2010-08-05,2.9541030953789527
2010-08-06,1.7348590012190352
2010-08-07,3.1972835995599005
2010-08-08,2.8357023543268847
2010-08-09,2.6308828553686427
2010-08-10,3.3631067629278326
2010-08-11,2.5685422082884966
2010-08-12,1.2092719983583555
2010-08-13,2.838054821680283
2010-08-14,3.0708169144012563
2010-08-15,2.4632942323488183
2010-08-16,1.8843266420471658
2010-08-17,3.2049207966670163
2010-08-18,2.6986998722937106
2010-08-19,2.0509169205750104
2010-08-20,3.6140188102468973
2010-08-21,6.039105463934827
2010-08-22,3.4240929519757275
2010-08-23,2.716895784717503
2010-08-24,5.291912881393658
2010-08-25,3.406707677382661
2010-08-26,2.032348839686703
2010-08-27,3.628595150262824
2010-08-28,3.6698617152153217
2010-08-29,4.365592767186483
2010-08-30,2.1195894555712274
2010-08-31,3.7359314426001404
