date,AvgTemp,AcTemplabel
2006-01-04,19.736363636363635,0
2006-01-05,22.415714285714287,1
2006-01-06,22.37702702702703,2
2006-01-07,23.643421052631577,3
2006-01-08,23.92051282051282,4
2006-01-09,25.4529411764706,5
2006-01-10,25.832500000500005,6
2006-01-11,23.631666666666657,7
2006-01-12,23.736,8
2006-01-13,24.45116279069768,9
2006-01-14,22.52666666666666,10
2006-01-15,23.016176470588235,11
2006-01-16,23.670833333611117,12
2006-01-17,21.091935483870973,13
2006-01-18,21.2765625,14
2006-01-19,23.132894736842108,15
2006-01-20,24.258536585609757,16
2006-01-21,24.260227272727267,17
2006-01-22,24.7575,18
2006-01-23,21.56875,19
2006-01-24,20.193103448275863,20
2006-01-25,23.225,21
2006-01-26,24.550000000000008,22
2006-01-27,24.572972972972977,23
2006-01-28,24.48522727272728,24
2006-01-29,24.5052631581579,25
2006-01-30,21.13529411764706,26
2006-01-31,25.212857142857143,27
2006-02-01,25.961842105,28
2006-02-02,21.957500000000003,29
2006-02-03,21.72,30
2006-02-04,22.736842105526318,31
2006-02-05,24.200000000000003,32
2006-02-06,20.728125,33
2006-02-07,21.643750000000004,34
2006-02-08,24.43604651186047,35
2006-02-09,21.420270270540534,36
2006-02-10,22.92972973,37
2006-02-11,24.826923076923084,38
2006-02-12,23.27804878073171,39
2006-02-13,22.1774193548387,40
2006-02-14,23.565625,41
2006-02-15,23.4675,42
2006-02-16,25.322972973513505,43
2006-02-17,26.07727272772728,44
2006-02-18,25.64512195121952,45
2006-02-19,23.14218750000001,46
2006-02-20,24.43846153871795,47
2006-02-21,23.4575,48
2006-02-22,24.343421052631577,49
2006-02-23,24.11351351351352,50
2006-02-24,24.25238095261904,51
2006-02-25,24.57906976744186,52
2006-02-26,22.114516128709678,53
2006-02-27,22.593333333777775,54
2006-02-28,22.72875000000001,55
2006-03-01,23.975757575454548,56
2006-03-02,23.32567567567568,57
2006-03-03,23.180000000333333,58
2006-03-04,22.55813953465116,59
2006-03-05,24.766304347826075,60
2006-03-06,24.01621621621622,61
2006-03-07,22.722058823823524,62
2006-03-08,24.35833333333333,63
2006-03-09,24.11756756756757,64
2006-03-10,24.16176470588235,65
2006-03-11,24.57439024390244,66
2006-03-12,25.372368421578955,67
2006-03-13,23.110000000000003,68
2006-03-14,22.767241379310345,69
2006-03-15,24.49358974333333,70
2006-03-16,22.702564102307694,71
2006-03-17,22.601282051538465,72
2006-03-18,24.256756757027038,73
2006-03-19,21.35,74
2006-03-20,20.760526315789477,75
2006-03-21,21.26923076923077,76
2006-03-22,21.11375,77
2006-03-23,20.33965517275862,78
2006-03-24,20.501315789210523,79
2006-03-25,20.14285714285714,80
2006-03-26,21.15333333377778,81
2006-03-27,22.27619047642857,82
2006-03-28,21.942307692051287,83
2006-03-29,22.322093023023253,84
2006-03-30,21.527631578947368,85
2006-03-31,18.395945946216223,0
2006-04-01,16.418181818409096,0
2006-04-02,18.183695652391304,1
2006-04-03,22.002380952619053,2
2006-04-04,23.445348837906977,3
2006-04-05,18.960975609512197,4
2006-04-06,18.77608695652174,5
2006-04-07,17.884883720930233,6
2006-04-08,17.550000000238096,7
2006-04-09,18.182926829268293,8
2006-04-10,21.540909091136367,9
2006-04-11,24.102222222222224,10
2006-04-12,20.59999999971428,11
2006-04-13,21.02083333354167,12
2006-04-14,19.06578947368421,13
2006-04-15,15.981818182045457,0
2006-04-16,16.953947368684208,1
2006-04-17,20.71785714285714,2
2006-04-18,24.02142857166666,3
2006-04-19,23.4051282048718,4
2006-04-20,18.23974358974359,0
2006-04-21,14.987209302325583,0
2006-04-22,14.761627907,0
2006-04-23,15.961428571428574,1
2006-04-24,15.535000000000002,2
2006-04-25,15.81499999975,3
2006-04-26,16.24189189189189,4
2006-04-27,17.24756097560975,5
2006-04-28,19.376388889166677,6
2006-04-29,17.915476190238092,7
2006-04-30,17.39523809547619,8
2006-05-01,17.43255813953488,9
2006-05-02,19.102500000000006,10
2006-05-03,18.746052631578944,11
2006-05-04,16.786904762142857,12
2006-05-05,16.60454545477272,13
2006-05-06,17.88095238095238,14
2006-05-07,13.976744186046512,0
2006-05-08,14.385365853707311,1
2006-05-09,16.773750000000003,2
2006-05-10,15.171621621891893,3
2006-05-11,14.757575757575758,4
2006-05-12,15.608333333333334,5
2006-05-13,14.968604651395356,6
2006-05-14,15.8640625,7
2006-05-15,16.739999999999995,8
2006-05-16,16.610256410512818,9
2006-05-17,16.378723404468083,10
2006-05-18,16.669230769487182,11
2006-05-19,16.745945945945948,12
2006-05-20,15.270454545454545,13
2006-05-21,13.822727272500002,0
2006-05-22,11.348684210789472,0
2006-05-23,16.067948718205123,1
2006-05-24,15.286046511627903,2
2006-05-25,14.420731707317072,3
2006-05-26,13.89,4
2006-05-27,13.248863636590908,5
2006-05-28,12.474444444688888,6
2006-05-29,12.047619047928572,7
2006-05-30,12.927906976953487,8
2006-05-31,14.66842105263158,9
2006-06-01,11.442105263184208,10
2006-06-02,13.85657894736842,11
2006-06-03,12.682926829268292,12
2006-06-04,10.772580645161293,0
2006-06-05,12.035135135405405,1
2006-06-06,13.195,2
2006-06-07,13.229166666666666,3
2006-06-08,13.09875,4
2006-06-09,13.389285714285714,5
2006-06-10,11.189393939272726,6
2006-06-11,10.428409091045458,0
2006-06-12,12.04090909122728,1
2006-06-13,11.45116279044186,2
2006-06-14,10.79468085112766,3
2006-06-15,11.389285714523808,4
2006-06-16,11.244318182068184,5
2006-06-17,11.230952381238096,6
2006-06-18,12.052272727227267,7
2006-06-19,13.74047619071429,8
2006-06-20,12.931578947368417,9
2006-06-21,13.406896551724138,10
2006-06-22,13.04512195146341,11
2006-06-23,13.479268292682926,12
2006-06-24,11.254761904761905,13
2006-06-25,11.12840909118182,14
2006-06-26,11.79777777797778,15
2006-06-27,11.823170731512192,16
2006-06-28,12.218085106638297,17
2006-06-29,10.3600000001,0
2006-06-30,13.83108108081081,1
2006-07-01,12.681395348813952,2
2006-07-02,12.981250000025,3
2006-07-03,13.32121212121212,4
2006-07-04,12.870000000222223,5
2006-07-05,13.49186046511628,6
2006-07-06,11.54886363631818,7
2006-07-07,10.976136363886368,8
2006-07-08,10.502173913108695,9
2006-07-09,12.348863636545456,10
2006-07-10,16.616666666904763,11
2006-07-11,13.834444444400004,12
2006-07-12,11.188636363818182,13
2006-07-13,12.314285714309523,14
2006-07-14,14.325925925925926,15
2006-07-15,13.50487804904878,16
2006-07-16,13.701162790697676,17
2006-07-17,13.074999999999998,18
2006-07-18,10.53289473681579,19
2006-07-19,10.273749999750002,0
2006-07-20,12.491666666694446,1
2006-07-21,12.04999999997778,2
2006-07-22,12.36808510659574,3
2006-07-23,13.227142857142857,4
2006-07-24,14.435526315789472,5
2006-07-25,13.328571428571427,6
2006-07-26,14.331395349069767,7
2006-07-27,13.982142857380952,8
2006-07-28,14.443181818227275,9
2006-07-29,14.347727272499998,10
2006-07-30,12.944444444511111,11
2006-07-31,12.976249999975002,12
2006-08-01,11.02272727275,13
2006-08-02,12.100000000199998,14
2006-08-03,10.920833333333333,15
2006-08-04,12.935714285714289,16
2006-08-05,13.551315789473684,17
2006-08-06,13.109756097560972,18
2006-08-07,12.053409090886362,19
2006-08-08,12.939285714309523,20
