,date,PSF
0,2005-11-04,776257.0
1,2005-11-04,763643.0
2,2005-11-04,760526.0
3,2005-11-04,764137.5
4,2005-11-04,791271.0
5,2005-11-04,860386.0
6,2005-11-04,950706.0
7,2005-11-04,986238.0
8,2005-11-04,948817.5
9,2005-11-04,929956.5
10,2005-11-04,908099.0
11,2005-11-04,893092.5
12,2005-11-04,869078.0
13,2005-11-04,861543.5
14,2005-11-04,842303.0
15,2005-11-04,843366.5
16,2005-11-04,860757.0
17,2005-11-04,890548.5
18,2005-11-04,940535.0
19,2005-11-04,963256.5
20,2005-11-04,942894.5
21,2005-11-04,896180.0
22,2005-11-04,830907.5
23,2005-11-04,759733.5
24,2005-11-05,727894.0
25,2005-11-05,696181.0
26,2005-11-05,691504.0
27,2005-11-05,691519.0
28,2005-11-05,716804.0
29,2005-11-05,767681.0
30,2005-11-05,897700.0
31,2005-11-05,935122.0
32,2005-11-05,904559.0
33,2005-11-05,882718.0
34,2005-11-05,879409.0
35,2005-11-05,862257.0
36,2005-11-05,851941.0
37,2005-11-05,845060.0
38,2005-11-05,837847.0
39,2005-11-05,831668.0
40,2005-11-05,844597.0
41,2005-11-05,886328.0
42,2005-11-05,937133.0
43,2005-11-05,949142.0
44,2005-11-05,930267.0
45,2005-11-05,878631.0
46,2005-11-05,811037.0
47,2005-11-05,738015.0
48,2005-11-06,878203.0
49,2005-11-06,860509.0
50,2005-11-06,858089.3333333334
51,2005-11-06,863026.6666666666
52,2005-11-06,873497.3333333334
53,2005-11-06,909689.3333333334
54,2005-11-06,954335.3333333334
55,2005-11-06,1010465.3333333334
56,2005-11-06,1070262.3333333333
57,2005-11-06,1091907.6666666667
58,2005-11-06,1088395.3333333333
59,2005-11-06,1048499.0
60,2005-11-06,1002808.0
61,2005-11-06,972130.3333333334
62,2005-11-06,946321.6666666666
63,2005-11-06,937418.0
64,2005-11-06,970715.3333333334
65,2005-11-06,1026567.0
66,2005-11-06,1045100.0
67,2005-11-06,1038501.0
68,2005-11-06,1024250.6666666666
69,2005-11-06,1008754.3333333334
70,2005-11-06,971229.0
71,2005-11-06,920786.3333333334
72,2005-11-07,782679.5
73,2005-11-07,772020.5
74,2005-11-07,759535.5
75,2005-11-07,765001.0
76,2005-11-07,788866.0
77,2005-11-07,859126.0
78,2005-11-07,960886.5
79,2005-11-07,1024638.5
80,2005-11-07,999153.5
81,2005-11-07,967084.5
82,2005-11-07,966722.5
83,2005-11-07,945198.5
84,2005-11-07,932323.5
85,2005-11-07,944108.0
86,2005-11-07,937847.0
87,2005-11-07,945803.0
88,2005-11-07,965215.5
89,2005-11-07,1018713.0
90,2005-11-07,1035578.0
91,2005-11-07,1030671.5
92,2005-11-07,1008119.5
93,2005-11-07,961258.0
94,2005-11-07,878180.5
95,2005-11-07,802640.0
96,2005-11-08,730449.48
97,2005-11-08,710825.8
98,2005-11-08,699353.16
99,2005-11-08,701640.08
100,2005-11-08,725162.2
101,2005-11-08,784904.16
102,2005-11-08,891777.08
103,2005-11-08,944703.6
104,2005-11-08,923494.8
105,2005-11-08,913694.2
106,2005-11-08,914636.96
107,2005-11-08,904052.96
108,2005-11-08,890787.4
109,2005-11-08,881620.88
110,2005-11-08,872325.92
111,2005-11-08,872630.76
112,2005-11-08,889427.44
113,2005-11-08,926533.28
114,2005-11-08,949902.28
115,2005-11-08,960332.76
116,2005-11-08,951182.0
117,2005-11-08,916625.48
118,2005-11-08,851423.32
119,2005-11-08,777854.8
120,2005-11-09,833161.0
121,2005-11-09,817467.5
122,2005-11-09,818225.0
123,2005-11-09,825108.5
124,2005-11-09,860034.5
125,2005-11-09,929911.0
126,2005-11-09,1052615.5
127,2005-11-09,1117595.0
128,2005-11-09,1084208.0
129,2005-11-09,1050564.0
130,2005-11-09,1020864.5
131,2005-11-09,988360.0
132,2005-11-09,964022.5
133,2005-11-09,950913.0
134,2005-11-09,949764.0
135,2005-11-09,944859.5
136,2005-11-09,972228.5
137,2005-11-09,1024436.0
138,2005-11-09,1052732.0
139,2005-11-09,1058360.0
140,2005-11-09,1042878.0
141,2005-11-09,1008096.5
142,2005-11-09,940561.5
143,2005-11-09,869835.5
144,2005-11-10,721591.0
145,2005-11-10,697415.0
146,2005-11-10,686270.0
147,2005-11-10,691907.0
148,2005-11-10,717775.0
149,2005-11-10,771756.0
150,2005-11-10,891724.0
151,2005-11-10,945529.0
152,2005-11-10,903973.0
153,2005-11-10,889443.0
154,2005-11-10,893780.0
155,2005-11-10,884580.0
156,2005-11-10,865563.0
157,2005-11-10,857040.0
158,2005-11-10,831409.0
159,2005-11-10,840194.0
160,2005-11-10,852489.0
161,2005-11-10,869039.0
